  0.16600000E+01 -0.99580056E+00  0.70288625E+01
  0.16650000E+01 -0.98511003E+00  0.70669667E+01
  0.16700000E+01 -0.97423651E+00  0.71055189E+01
  0.16750000E+01 -0.96319050E+00  0.71446986E+01
  0.16800000E+01 -0.95222358E+00  0.71846543E+01
  0.16850000E+01 -0.94171147E+00  0.72254225E+01
  0.16900000E+01 -0.93195764E+00  0.72669149E+01
  0.16950000E+01 -0.92302474E+00  0.73089705E+01
  0.17000000E+01 -0.91468856E+00  0.73514437E+01
  0.17050000E+01 -0.90654313E+00  0.73942859E+01
  0.17100000E+01 -0.89820326E+00  0.74375797E+01
  0.17150000E+01 -0.88949793E+00  0.74814999E+01
  0.17200000E+01 -0.88055376E+00  0.75262100E+01
  0.17250000E+01 -0.87172870E+00  0.75717608E+01
  0.17300000E+01 -0.86343711E+00  0.76180608E+01
  0.17350000E+01 -0.85596389E+00  0.76649393E+01
  0.17400000E+01 -0.84936594E+00  0.77122537E+01
  0.17450000E+01 -0.84350586E+00  0.77599681E+01
  0.17500000E+01 -0.83818586E+00  0.78081648E+01
  0.17550000E+01 -0.83329486E+00  0.78569930E+01
  0.17600000E+01 -0.82887818E+00  0.79065843E+01
  0.17650000E+01 -0.82508951E+00  0.79569821E+01
  0.17700000E+01 -0.82205812E+00  0.80081212E+01
  0.17750000E+01 -0.81975894E+00  0.80598762E+01
  0.17800000E+01 -0.81797500E+00  0.81121465E+01
  0.17850000E+01 -0.81639033E+00  0.81649234E+01
  0.17900000E+01 -0.81477259E+00  0.82182955E+01
  0.17950000E+01 -0.81314536E+00  0.82723959E+01
  0.18000000E+01 -0.81184432E+00  0.83273332E+01
  0.18050000E+01 -0.81140717E+00  0.83831504E+01
  0.18100000E+01 -0.81233696E+00  0.84398261E+01
  0.18150000E+01 -0.81485464E+00  0.84973002E+01
  0.18200000E+01 -0.81877471E+00  0.85555039E+01
  0.18250000E+01 -0.82358462E+00  0.86143787E+01
  0.18300000E+01 -0.82870457E+00  0.86738912E+01
  0.18350000E+01 -0.83380478E+00  0.87340460E+01
  0.18400000E+01 -0.83901428E+00  0.87948942E+01
  0.18450000E+01 -0.84489926E+00  0.88565210E+01
  0.18500000E+01 -0.85220280E+00  0.89190068E+01
  0.18550000E+01 -0.86146674E+00  0.89823702E+01
  0.18600000E+01 -0.87273145E+00  0.90465199E+01
  0.18650000E+01 -0.88548459E+00  0.91112540E+01
  0.18700000E+01 -0.89890941E+00  0.91763298E+01
  0.18750000E+01 -0.91232409E+00  0.92415877E+01
  0.18800000E+01 -0.92558906E+00  0.93070572E+01
  0.18850000E+01 -0.93925667E+00  0.93729577E+01
  0.18900000E+01 -0.95435843E+00  0.94395685E+01
  0.18950000E+01 -0.97191365E+00  0.95070324E+01
  0.19000000E+01 -0.99240215E+00  0.95752141E+01
  0.19050000E+01 -0.10154823E+01  0.96437148E+01
  0.19100000E+01 -0.10401240E+01  0.97120606E+01
  0.19150000E+01 -0.10651125E+01  0.97799724E+01
  0.19200000E+01 -0.10896789E+01  0.98475484E+01
  0.19250000E+01 -0.11139271E+01  0.99152166E+01
  0.19300000E+01 -0.11388244E+01  0.99834605E+01
  0.19350000E+01 -0.11657439E+01  0.10052483E+02
  0.19400000E+01 -0.11957878E+01  0.10122027E+02
  0.19450000E+01 -0.12292480E+01  0.10191474E+02
  0.19500000E+01 -0.12654906E+01  0.10260178E+02
  0.19550000E+01 -0.13033332E+01  0.10327827E+02
  0.19600000E+01 -0.13417135E+01  0.10394595E+02
