# energy dos
-7.206090000000000373e+01 0.000000000000000000e+00
-7.197200000000000841e+01 0.000000000000000000e+00
-7.188320000000000221e+01 0.000000000000000000e+00
-7.179430000000000689e+01 0.000000000000000000e+00
-7.170539999999999736e+01 0.000000000000000000e+00
-7.161660000000000537e+01 0.000000000000000000e+00
-7.152769999999999584e+01 0.000000000000000000e+00
-7.143880000000000052e+01 0.000000000000000000e+00
-7.135000000000000853e+01 0.000000000000000000e+00
-7.126109999999999900e+01 0.000000000000000000e+00
-7.117230000000000700e+01 0.000000000000000000e+00
-7.108339999999999748e+01 0.000000000000000000e+00
-7.099450000000000216e+01 0.000000000000000000e+00
-7.090569999999999595e+01 0.000000000000000000e+00
-7.081680000000000064e+01 0.000000000000000000e+00
-7.072790000000000532e+01 0.000000000000000000e+00
-7.063909999999999911e+01 0.000000000000000000e+00
-7.055020000000000380e+01 0.000000000000000000e+00
-7.046139999999999759e+01 0.000000000000000000e+00
-7.037250000000000227e+01 0.000000000000000000e+00
-7.028360000000000696e+01 0.000000000000000000e+00
-7.019480000000000075e+01 0.000000000000000000e+00
-7.010590000000000543e+01 0.000000000000000000e+00
-7.001699999999999591e+01 0.000000000000000000e+00
-6.992820000000000391e+01 0.000000000000000000e+00
-6.983930000000000859e+01 0.000000000000000000e+00
-6.975039999999999907e+01 0.000000000000000000e+00
-6.966160000000000707e+01 0.000000000000000000e+00
-6.957269999999999754e+01 0.000000000000000000e+00
-6.948390000000000555e+01 0.000000000000000000e+00
-6.939499999999999602e+01 0.000000000000000000e+00
-6.930610000000000070e+01 0.000000000000000000e+00
-6.921730000000000871e+01 0.000000000000000000e+00
-6.912839999999999918e+01 0.000000000000000000e+00
-6.903950000000000387e+01 0.000000000000000000e+00
-6.895069999999999766e+01 0.000000000000000000e+00
-6.886180000000000234e+01 0.000000000000000000e+00
-6.877299999999999613e+01 0.000000000000000000e+00
-6.868410000000000082e+01 0.000000000000000000e+00
-6.859520000000000550e+01 0.000000000000000000e+00
-6.850639999999999930e+01 0.000000000000000000e+00
-6.841750000000000398e+01 0.000000000000000000e+00
-6.832860000000000866e+01 0.000000000000000000e+00
-6.823980000000000246e+01 0.000000000000000000e+00
-6.815090000000000714e+01 0.000000000000000000e+00
-6.806199999999999761e+01 0.000000000000000000e+00
-6.797320000000000562e+01 0.000000000000000000e+00
-6.788430000000001030e+01 0.000000000000000000e+00
-6.779550000000000409e+01 0.000000000000000000e+00
-6.770660000000000878e+01 0.000000000000000000e+00
-6.761769999999999925e+01 0.000000000000000000e+00
-6.752890000000000725e+01 0.000000000000000000e+00
-6.744000000000001194e+01 0.000000000000000000e+00
-6.735110000000000241e+01 0.000000000000000000e+00
-6.726230000000001041e+01 0.000000000000000000e+00
-6.717340000000000089e+01 0.000000000000000000e+00
-6.708460000000000889e+01 0.000000000000000000e+00
-6.699569999999999936e+01 0.000000000000000000e+00
-6.690680000000000405e+01 0.000000000000000000e+00
-6.681800000000001205e+01 0.000000000000000000e+00
-6.672910000000000252e+01 0.000000000000000000e+00
-6.664020000000000721e+01 0.000000000000000000e+00
-6.655140000000000100e+01 0.000000000000000000e+00
-6.646250000000000568e+01 0.000000000000000000e+00
-6.637360000000001037e+01 0.000000000000000000e+00
-6.628480000000000416e+01 0.000000000000000000e+00
-6.619590000000000884e+01 0.000000000000000000e+00
-6.610710000000000264e+01 0.000000000000000000e+00
-6.601820000000000732e+01 0.000000000000000000e+00
-6.592930000000001201e+01 0.000000000000000000e+00
-6.584050000000000580e+01 0.000000000000000000e+00
-6.575160000000001048e+01 0.000000000000000000e+00
-6.566270000000000095e+01 0.000000000000000000e+00
-6.557390000000000896e+01 0.000000000000000000e+00
-6.548499999999999943e+01 0.000000000000000000e+00
-6.539620000000000744e+01 0.000000000000000000e+00
-6.530730000000001212e+01 0.000000000000000000e+00
-6.521840000000000259e+01 0.000000000000000000e+00
-6.512960000000001060e+01 0.000000000000000000e+00
-6.504070000000000107e+01 0.000000000000000000e+00
-6.495180000000000575e+01 0.000000000000000000e+00
-6.486299999999999955e+01 0.000000000000000000e+00
-6.477410000000000423e+01 0.000000000000000000e+00
-6.468520000000000891e+01 0.000000000000000000e+00
-6.459640000000000271e+01 0.000000000000000000e+00
-6.450750000000000739e+01 0.000000000000000000e+00
-6.441870000000000118e+01 0.000000000000000000e+00
-6.432980000000000587e+01 0.000000000000000000e+00
-6.424090000000001055e+01 0.000000000000000000e+00
-6.415210000000000434e+01 0.000000000000000000e+00
-6.406320000000000903e+01 0.000000000000000000e+00
-6.397429999999999950e+01 0.000000000000000000e+00
-6.388550000000000040e+01 0.000000000000000000e+00
-6.379660000000000508e+01 0.000000000000000000e+00
-6.370770000000000266e+01 0.000000000000000000e+00
-6.361890000000000356e+01 0.000000000000000000e+00
-6.353000000000000114e+01 0.000000000000000000e+00
-6.344120000000000203e+01 0.000000000000000000e+00
-6.335229999999999961e+01 0.000000000000000000e+00
-6.326340000000000430e+01 0.000000000000000000e+00
-6.317460000000000520e+01 0.000000000000000000e+00
-6.308570000000000277e+01 0.000000000000000000e+00
-6.299680000000000035e+01 0.000000000000000000e+00
-6.290800000000000125e+01 0.000000000000000000e+00
-6.281910000000000593e+01 0.000000000000000000e+00
-6.273029999999999973e+01 0.000000000000000000e+00
-6.264140000000000441e+01 0.000000000000000000e+00
-6.255250000000000199e+01 0.000000000000000000e+00
-6.246370000000000289e+01 0.000000000000000000e+00
-6.237480000000000047e+01 0.000000000000000000e+00
-6.228590000000000515e+01 0.000000000000000000e+00
-6.219709999999999894e+01 0.000000000000000000e+00
-6.210820000000000363e+01 0.000000000000000000e+00
-6.201930000000000121e+01 0.000000000000000000e+00
-6.193050000000000210e+01 0.000000000000000000e+00
-6.184159999999999968e+01 0.000000000000000000e+00
-6.175280000000000058e+01 0.000000000000000000e+00
-6.166390000000000526e+01 0.000000000000000000e+00
-6.157500000000000284e+01 0.000000000000000000e+00
-6.148620000000000374e+01 0.000000000000000000e+00
-6.139730000000000132e+01 0.000000000000000000e+00
-6.130839999999999890e+01 0.000000000000000000e+00
-6.121959999999999980e+01 0.000000000000000000e+00
-6.113070000000000448e+01 0.000000000000000000e+00
-6.104190000000000538e+01 0.000000000000000000e+00
-6.095300000000000296e+01 0.000000000000000000e+00
-6.086410000000000053e+01 0.000000000000000000e+00
-6.077530000000000143e+01 0.000000000000000000e+00
-6.068639999999999901e+01 0.000000000000000000e+00
-6.059750000000000369e+01 0.000000000000000000e+00
-6.050870000000000459e+01 0.000000000000000000e+00
-6.041980000000000217e+01 0.000000000000000000e+00
-6.033089999999999975e+01 0.000000000000000000e+00
-6.024210000000000065e+01 0.000000000000000000e+00
-6.015320000000000533e+01 0.000000000000000000e+00
-6.006439999999999912e+01 0.000000000000000000e+00
-5.997550000000000381e+01 0.000000000000000000e+00
-5.988660000000000139e+01 0.000000000000000000e+00
-5.979780000000000229e+01 0.000000000000000000e+00
-5.970889999999999986e+01 0.000000000000000000e+00
-5.962000000000000455e+01 0.000000000000000000e+00
-5.953120000000000545e+01 0.000000000000000000e+00
-5.944230000000000302e+01 0.000000000000000000e+00
-5.935350000000000392e+01 0.000000000000000000e+00
-5.926460000000000150e+01 0.000000000000000000e+00
-5.917569999999999908e+01 0.000000000000000000e+00
-5.908689999999999998e+01 0.000000000000000000e+00
-5.899800000000000466e+01 0.000000000000000000e+00
-5.890910000000000224e+01 0.000000000000000000e+00
-5.882030000000000314e+01 0.000000000000000000e+00
-5.873140000000000072e+01 0.000000000000000000e+00
-5.864250000000000540e+01 0.000000000000000000e+00
-5.855369999999999919e+01 0.000000000000000000e+00
-5.846480000000000388e+01 0.000000000000000000e+00
-5.837600000000000477e+01 0.000000000000000000e+00
-5.828710000000000235e+01 0.000000000000000000e+00
-5.819819999999999993e+01 0.000000000000000000e+00
-5.810940000000000083e+01 0.000000000000000000e+00
-5.802050000000000551e+01 0.000000000000000000e+00
-5.793160000000000309e+01 0.000000000000000000e+00
-5.784280000000000399e+01 0.000000000000000000e+00
-5.775390000000000157e+01 0.000000000000000000e+00
-5.766510000000000247e+01 0.000000000000000000e+00
-5.757620000000000005e+01 0.000000000000000000e+00
-5.748730000000000473e+01 0.000000000000000000e+00
-5.739850000000000563e+01 0.000000000000000000e+00
-5.730960000000000321e+01 0.000000000000000000e+00
-5.722070000000000078e+01 0.000000000000000000e+00
-5.713190000000000168e+01 0.000000000000000000e+00
-5.704299999999999926e+01 0.000000000000000000e+00
-5.695410000000000394e+01 0.000000000000000000e+00
-5.686530000000000484e+01 0.000000000000000000e+00
-5.677640000000000242e+01 0.000000000000000000e+00
-5.668760000000000332e+01 0.000000000000000000e+00
-5.659870000000000090e+01 0.000000000000000000e+00
-5.650980000000000558e+01 0.000000000000000000e+00
-5.642099999999999937e+01 0.000000000000000000e+00
-5.633210000000000406e+01 0.000000000000000000e+00
-5.624320000000000164e+01 0.000000000000000000e+00
-5.615440000000000254e+01 0.000000000000000000e+00
-5.606550000000000011e+01 0.000000000000000000e+00
-5.597670000000000101e+01 0.000000000000000000e+00
-5.588780000000000570e+01 0.000000000000000000e+00
-5.579890000000000327e+01 0.000000000000000000e+00
-5.571010000000000417e+01 0.000000000000000000e+00
-5.562120000000000175e+01 0.000000000000000000e+00
-5.553229999999999933e+01 0.000000000000000000e+00
-5.544350000000000023e+01 0.000000000000000000e+00
-5.535460000000000491e+01 0.000000000000000000e+00
